model,angle_set,curve,point_index,param_angle_rad,x_over_delta_xq,p_over_delta_pq
QG,A,V_init,245,2.138028333693054,-0.4921810758558717,-1.4627561699686114
QG,A,V_init,246,2.1467549799530254,-0.4931886420367181,-1.4834809796909698
QG,A,V_init,247,2.155481626212997,-0.49415864999301595,-1.5040928165931944
QG,A,V_init,248,2.1642082724729685,-0.4950910258549037,-1.5245901110041036
QG,A,V_init,249,2.17293491873294,-0.49598569861834985,-1.5449713019753692
QG,A,V_init,250,2.181661564992912,-0.4968426001505596,-1.5652348374003904
QG,A,V_init,251,2.1903882112528836,-0.4976616651951634,-1.58537917413249
QG,A,V_init,252,2.199114857512855,-0.49844283137718715,-1.6054027781024343
QG,A,V_init,253,2.2078415037728267,-0.4991860392078017,-1.6253041244352564
QG,A,V_init,254,2.2165681500327987,-0.4998912320888532,-1.6450816975663827
QG,A,V_init,255,2.2252947962927703,-0.5005583563171736,-1.6647339913570458
QG,A,V_init,256,2.234021442552742,-0.5011873610886699,-1.6842595092089876
QG,A,V_init,257,2.2427480888127134,-0.5017781985021935,-1.703656764178427
QG,A,V_init,258,2.251474735072685,-0.5023308235631879,-1.722924279089299
QG,A,V_init,259,2.260201381332657,-0.5028451941871152,-1.7420605866457468
QG,A,V_init,260,2.2689280275926285,-0.5033212712026607,-1.7610642295438583
QG,A,V_init,261,2.2776546738526,-0.5037590183547167,-1.779933760582653
QG,A,V_init,262,2.2863813201125716,-0.5041584023071425,-1.7986677427742856
QG,A,V_init,263,2.2951079663725436,-0.504519392645304,-1.8172647494534815
QG,A,V_init,264,2.303834612632515,-0.5048419618783894,-1.835723364386179
QG,A,V_init,265,2.3125612588924866,-0.5051260854415026,-1.8540421818773867
QG,A,V_init,266,2.321287905152458,-0.5053717416975342,-1.8722198068782279
QG,A,V_init,267,2.3300145514124297,-0.5055789119388093,-1.8902548550921818
QG,A,V_init,268,2.3387411976724017,-0.5057475803885121,-1.9081459530805023
QG,A,V_init,269,2.3474678439323733,-0.5058777342018868,-1.925891738366807
QG,A,V_init,270,2.356194490192345,-0.5059693634672167,-1.9434908595408424
QG,A,V_init,271,2.3649211364523164,-0.5060224612065785,-1.9609419763613927
QG,A,V_init,272,2.3736477827122884,-0.5060370233763738,-1.9782437598583487
QG,A,V_init,273,2.38237442897226,-0.5060130488676371,-1.9953948924339082
QG,A,V_init,274,2.3911010752322315,-0.50595053950612,-2.0123940679629237
QG,A,V_init,275,2.399827721492203,-0.5058495000521522,-2.0292399918923625
QG,A,V_init,276,2.4085543677521746,-0.5057099382002795,-2.045931381339897
QG,A,V_init,277,2.4172810140121466,-0.5055318645786773,-2.0624669651915983
QG,A,V_init,278,2.426007660272118,-0.5053152927483411,-2.078845484198734
QG,A,V_init,279,2.4347343065320897,-0.5050602392020545,-2.09506569107367
QG,A,V_init,280,2.443460952792061,-0.5047667233631323,-2.1111263505848545
QG,A,V_init,281,2.452187599052033,-0.5044347675839425,-2.1270262396508843
QG,A,V_init,282,2.4609142453120048,-0.5040643971442023,-2.142764147433647
QG,A,V_init,283,2.4696408915719763,-0.503655640249055,-2.1583388754305344
QG,A,V_init,284,2.478367537831948,-0.5032085280269205,-2.1737492375657093
QG,A,V_init,285,2.4870941840919194,-0.5027230945271258,-2.1889940602804305
QG,A,V_init,286,2.4958208303518914,-0.5021993767173113,-2.204072182622427
QG,A,V_init,287,2.504547476611863,-0.5016374144806157,-2.2189824563343037
QG,A,V_init,288,2.5132741228718345,-0.5010372506126394,-2.23372374594099
QG,A,V_init,289,2.522000769131806,-0.5003989308181842,-2.248294928836211
QG,A,V_init,290,2.530727415391778,-0.49972250370777405,-2.262694895367974
QG,A,V_init,291,2.5394540616517496,-0.4990080207939521,-2.2769225489230736
QG,A,V_init,292,2.548180707911721,-0.4982555364873587,-2.2909768060106095
QG,A,V_init,293,2.5569073541716927,-0.497465108092587,-2.30485659634449
QG,A,V_init,294,2.5656340004316642,-0.4966367958038196,-2.3185608629249437
QG,A,V_init,295,2.5743606466916362,-0.49577066270024406,-2.3320885621190124
QG,A,V_init,296,2.5830872929516078,-0.4948667747412499,-2.3454386637400275
QG,A,V_init,297,2.5918139392115793,-0.49392520076140445,-2.3586101511260646
QG,A,V_init,298,2.600540585471551,-0.492946012465212,-2.3716020212173623
QG,A,V_init,299,2.609267231731523,-0.4919292844216521,-2.384413284632714
QG,A,V_init,300,2.6179938779914944,-0.4908750940585019,-2.39704296574481
QG,A,V_init,301,2.626720524251466,-0.48978352165643885,-2.4094901027545337
QG,A,V_init,302,2.6354471705114375,-0.48865465034292777,-2.4217537477642135
QG,A,V_init,303,2.644173816771409,-0.4874885660858896,-2.4338329668498
QG,A,V_init,304,2.652900463031381,-0.48628535768715525,-2.445726840131994
QG,A,V_init,305,2.6616271092913526,-0.4850451167757028,-2.457434461846295
QG,A,V_init,306,2.670353755551324,-0.4837679378006793,-2.4689549404119817
QG,A,V_init,307,2.6790804018112957,-0.48245391802420856,-2.4802873985000087
QG,A,V_init,308,2.6878070480712677,-0.4811031575139839,-2.4914309730998174
QG,A,V_init,309,2.6965336943312392,-0.479715759135648,-2.5023848155850565
QG,A,V_init,310,2.705260340591211,-0.4782918285449589,-2.513148091778212
QG,A,V_init,311,2.7139869868511823,-0.476831474179744,-2.5237199820141303
QG,A,V_init,312,2.722713633111154,-0.4753348072516421,-2.534099681202439
QG,A,V_init,313,2.731440279371126,-0.4738019417376344,-2.5442863988888584
QG,A,V_init,314,2.7401669256310974,-0.4722329943713647,-2.554279359315397
